random order num,Species,Stem,ID,unique,Diameter.wbark (mm),Fresh mass (g),Diameter.nobark (mm),Volume (g),Dry mass wood (g),Dry mass bark (g),Dry mass total (g),Notes
26,hase,3,g,hase3g,17.25,19.97,,,,,,
27,hase,3,a,hase3a,18.66,23.82,,,,,,
28,hase,1,k,hase1k,21.62,33.34,,,,,,
29,hase,2,d,hase2d,9.59,7.44,,,,,,
30,hase,2,j,hase2j,18.43,24.98,,,,,,
31,hase,2,i,hase2i,18.59,26.23,,,,,14.78,
32,hase,2,k,hase2k,17.02,20.94,16.28,17.6,10.82,1.18,,
33,hase,2,e,hase2e,13.37,15.83,,,,,8.86,
34,hase,3,h,hase3h,10.79,9.08,9.68,6.65,4.16,0.72,,
35,hase,3,j,hase3j,15.05,15.07,,,,,8.35,
36,hase,1,a,hase1a,14.96,17.08,14.55,13.94,9.01,0.86,,
1,isan,4,b,isan4b,11.31,9.73,,,,,,
2,isan,5,k,isan5k,15.27,19.32,,,,,,
3,isan,5,i,isan5i,18.65,24.18,,,,,,
4,isan,1,d,isan1d,11.4,10.61,,,,,,
5,isan,3,d,isan3d,8.59,5.52,,,,,,
6,isan,3,b,isan3b,9.79,7.54,,,,,,
7,isan,5,b,isan5b,12.42,11.53,,,,,,
8,isan,5,h,isan5h,15.58,18.76,,,,,,
9,isan,3,c,isan3c,8.5,5.09,,,,,,
10,isan,5,c,isan5c,16.85,20.71,,,,,,
11,isan,3,e,isan3e,10.39,8.01,,,,,,
12,isan,1,c,isan1c,12.2,12.4,,,,,,
13,isan,5,a,isan5a,13.66,13.92,,,,,,
14,isan,1,i,isan1i,10.94,8.4,,,,,,
15,isan,2,b,isan2b,9.48,6.3,,,,,,
16,isan,3,a,isan3a,9.84,7.91,,,,,,
17,isan,5,j,isan5j,16.17,19.8,,,,,,
18,isan,5,f,isan5f,22.94,29.48,,,,,,
19,isan,1,f,isan1f,10.05,7.77,,,,,,
20,isan,2,e,isan2e,10.92,6.13,,,,,,
21,isan,1,a,isan1a,12.64,10.7,,,,,,
22,isan,1,b,isan1b,10.77,8.69,,,,,,
23,isan,3,g,isan3g,9.65,5.81,,,,,,
